iteration,mse loss,r2 score,top 1,top 5
0,13.93265082,-0.023046758,0.049846961,0.049846961
1,24.72430725,-0.815725886,0.049846961,0.049846961
2,13.45696888,0.011861879,0.049846961,0.049846961
3,14.11773263,-0.036672203,0.049846961,0.049846961
4,13.49944798,0.008750012,0.049846961,0.049846961
5,13.39410456,0.016487432,0.049846961,0.049846961
6,13.48792433,0.009606967,0.049846961,0.049846961
7,12.70561018,0.067037157,0.049846961,0.049846961
8,13.23394118,0.028224496,0.049846961,0.049846961
9,10.75928115,0.209963875,0.049846961,0.049846961
10,9.964296648,0.268332477,0.049846961,0.049846961
11,9.681946251,0.289065324,0.049846961,0.049846961
12,7.557673414,0.445034803,0.049846961,0.049846961
13,7.967137143,0.414988908,0.049846961,0.049846961
14,6.81111228,0.499869213,0.049846961,0.049846961
15,4.19507351,0.69194218,0.049846961,0.049846961
16,4.544689153,0.666286654,0.049846961,0.049846961
17,3.71732949,0.727027535,0.049846961,0.049846961
18,2.260857926,0.833994063,0.049846961,0.049846961
19,2.413390045,0.822784226,0.049846961,0.049846961
20,1.786309967,0.868828827,0.049846961,0.049846961
21,2.027714643,0.851109892,0.049846961,0.049846961
22,1.573035799,0.88450087,0.049846961,0.049846961
23,1.58531858,0.883591976,0.049846961,0.049846961
24,1.189208428,0.912681261,0.049846961,0.049846961
25,1.504602999,0.889513448,0.049846961,0.049846961
26,1.336755296,0.901838672,0.049846961,0.049846961
27,1.936302752,0.857816136,0.049846961,0.049846961
28,1.032999408,0.924164428,0.049846961,0.049846961
29,1.572812326,0.884509649,0.049846961,0.049846961
30,1.604912889,0.882159991,0.049846961,0.049846961
31,0.94169159,0.930860256,0.049846961,0.049846961
32,0.853403601,0.937336329,0.049846961,0.049846961
33,1.200594971,0.911848575,0.049846961,0.049846961
34,2.675144819,0.803590772,0.049846961,0.049846961
35,0.88324807,0.935140724,0.049846961,0.049846961
36,0.631639807,0.953623467,0.049846961,0.049846961
37,0.70635582,0.948143975,0.049846961,0.049846961
38,0.899984349,0.933933148,0.049846961,0.049846961
39,0.627959348,0.953888877,0.049846961,0.049846961
40,1.071850231,0.921287524,0.049846961,0.049846961
41,0.542936493,0.96014403,0.049846961,0.049846961
42,0.657125842,0.951752203,0.049846961,0.049846961
43,0.964634752,0.929180947,0.049846961,0.049846961
44,1.07233433,0.921268819,0.049846961,0.049846961
45,1.053633641,0.922634422,0.049846961,0.049846961
46,0.88900158,0.934724927,0.049846961,0.049846961
47,0.879196321,0.935450372,0.049846961,0.049846961
48,0.543104807,0.960122913,0.049846961,0.049846961
49,0.631105123,0.953665897,0.049846961,0.049846961
50,0.509453232,0.96258901,0.049846961,0.049846961
51,0.871965638,0.935977398,0.049846961,0.049846961
52,0.641059369,0.952926867,0.049846961,0.049846961
53,0.715912897,0.947436062,0.049846961,0.049846961
54,0.539525097,0.960389225,0.049846961,0.049846961
55,2.269693882,0.833364665,0.049846961,0.049846961
56,0.509010257,0.962630607,0.049846961,0.049846961
57,0.478431587,0.964875684,0.049846961,0.049846961
58,0.872589816,0.935928542,0.049846961,0.049846961
59,0.39955277,0.970661027,0.049846961,0.049846961
60,0.885387496,0.934996486,0.049846961,0.049846961
61,0.413154674,0.969670926,0.049846961,0.049846961
62,0.356583236,0.973815767,0.049846961,0.049846961
63,0.38154891,0.971983846,0.049846961,0.049846961
64,0.470063644,0.965482715,0.049846961,0.049846961
65,0.927917847,0.931865301,0.049846961,0.049846961
66,0.660840274,0.951478644,0.049846961,0.049846961
67,0.406419849,0.970157482,0.049846961,0.049846961
68,0.358271393,0.973693056,0.049846961,0.049846961
69,0.717395348,0.947332723,0.049846961,0.049846961
70,0.473950431,0.965200398,0.049846961,0.049846961
71,0.50931122,0.962602556,0.049846961,0.049846961
72,0.45140831,0.966855324,0.049846961,0.049846961
73,0.403614332,0.970366268,0.049846961,0.049846961
74,1.966759398,0.855593683,0.049846961,0.049846961
75,0.460761452,0.966165721,0.049846961,0.049846961
76,0.79745409,0.941445931,0.049846961,0.049846961
77,0.570501286,0.95811673,0.049846961,0.049846961
78,0.436979685,0.967918499,0.049846961,0.049846961
79,0.386759871,0.971603731,0.049846961,0.049846961
80,0.513636842,0.962286522,0.049846961,0.049846961
81,0.701333185,0.94850441,0.049846961,0.049846961
82,0.534891498,0.960724317,0.049846961,0.049846961
83,0.490977975,0.963949812,0.049846961,0.049846961
84,0.705899453,0.948173934,0.049846961,0.049846961
85,0.750600828,0.944890195,0.049846961,0.049846961
86,0.541085109,0.960274816,0.049846961,0.049846961
87,0.611150041,0.955121549,0.049846961,0.049846961
88,0.736955081,0.945887246,0.049846961,0.049846961
89,0.395684008,0.970947416,0.049846961,0.049846961
90,3.98366778,0.707497989,0.049846961,0.049846961
91,0.437634715,0.967866326,0.049846961,0.049846961
92,0.323566533,0.97624361,0.049846961,0.049846961
93,0.50566294,0.9628755,0.049846961,0.049846961
94,0.539026943,0.960419361,0.049846961,0.049846961
95,0.267801903,0.980336901,0.049846961,0.049846961
96,1.318611269,0.903174853,0.049846961,0.049846961
97,0.77021767,0.943440672,0.049846961,0.049846961
98,0.555507551,0.959212262,0.049846961,0.049846961
99,0.442862058,0.967480646,0.049846961,0.049846961
100,0.543421105,0.960101938,0.049846961,0.049846961
101,0.448997028,0.967033224,0.049846961,0.049846961
102,0.415882504,0.969461822,0.049846961,0.049846961
103,0.530049726,0.961080291,0.049846961,0.049846961
104,0.332842015,0.975559352,0.049846961,0.049846961
105,0.562978219,0.958668369,0.049846961,0.049846961
106,0.412800601,0.969689971,0.049846961,0.049846961
107,0.322640274,0.9763104,0.049846961,0.049846961
108,0.324332678,0.976186644,0.049846961,0.049846961
109,0.243541211,0.982118302,0.049846961,0.049846961
110,0.29906915,0.97804075,0.049846961,0.049846961
111,0.383553499,0.971837975,0.049846961,0.049846961
112,0.39845049,0.970746856,0.049846961,0.049846961
113,0.728015163,0.946541395,0.049846961,0.049846961
114,0.346691578,0.974541081,0.049846961,0.049846961
115,0.315136503,0.976859356,0.049846961,0.049846961
116,0.335150351,0.975391937,0.049846961,0.049846961
117,0.451123901,0.966879003,0.049846961,0.049846961
118,0.266819689,0.980407923,0.049846961,0.049846961
119,0.376749347,0.972338522,0.049846961,0.049846961
120,0.39485924,0.971008145,0.049846961,0.049846961
121,0.748527509,0.945040392,0.049846961,0.049846961
122,0.715587275,0.947454282,0.049846961,0.049846961
123,0.367486557,0.973018089,0.049846961,0.049846961
124,0.331687967,0.97564408,0.049846961,0.049846961
125,0.243563275,0.982118779,0.049846961,0.049846961
126,0.343824532,0.974752197,0.049846961,0.049846961
127,0.374908521,0.97247261,0.049846961,0.049846961
128,0.500401411,0.963258537,0.049846961,0.049846961
129,0.462632657,0.966032821,0.049846961,0.049846961
130,0.281069662,0.97936085,0.049846961,0.049846961
131,0.793574092,0.941734368,0.049846961,0.049846961
132,0.294815282,0.978353713,0.049846961,0.049846961
133,0.474241816,0.965178471,0.049846961,0.049846961
134,0.488566048,0.964125106,0.049846961,0.049846961
135,0.303129173,0.977747314,0.049846961,0.049846961
136,0.242512599,0.982192477,0.049846961,0.049846961
137,0.385253288,0.971722999,0.049846961,0.049846961
138,0.244330534,0.982059189,0.049846961,0.049846961
139,0.292968105,0.97848895,0.049846961,0.049846961
140,0.326009609,0.976062748,0.049846961,0.049846961
141,0.334164962,0.975463588,0.049846961,0.049846961
142,0.519206639,0.961882357,0.049846961,0.049846961
143,0.252437713,0.981471351,0.049846961,0.049846961
144,0.460206617,0.966210613,0.049846961,0.049846961
145,0.31299987,0.977022494,0.049846961,0.049846961
146,0.322929126,0.976288519,0.049846961,0.049846961
147,0.630645879,0.953689483,0.049846961,0.049846961
148,0.354533395,0.973966676,0.049846961,0.049846961
149,0.310134813,0.977230292,0.049846961,0.049846961
150,0.549163603,0.959674869,0.049846961,0.049846961
151,0.230329038,0.983090796,0.049846961,0.049846961
152,0.402652097,0.970436702,0.049846961,0.049846961
153,0.396311134,0.970901947,0.049846961,0.049846961
154,0.317509856,0.976685215,0.049846961,0.049846961
155,0.368317264,0.972956239,0.049846961,0.049846961
156,0.676933766,0.950300148,0.049846961,0.049846961
157,0.341630688,0.974915891,0.049846961,0.049846961
158,0.329688587,0.975792069,0.049846961,0.049846961
159,0.293455728,0.978451219,0.049846961,0.049846961
160,0.246452268,0.981904514,0.049846961,0.049846961
161,0.437298069,0.967890754,0.049846961,0.049846961
162,0.51906621,0.961893366,0.049846961,0.049846961
163,0.297481997,0.978163354,0.049846961,0.049846961
164,0.507552664,0.962732911,0.049846961,0.049846961
165,0.457064831,0.966437971,0.049846961,0.049846961
166,0.517260056,0.962024424,0.049846961,0.049846961
167,0.80764026,0.940689921,0.049846961,0.049846961
168,0.870316165,0.936102991,0.049846961,0.049846961
169,0.353407799,0.974053912,0.049846961,0.049846961
170,1.085135056,0.92032359,0.049846961,0.049846961
171,0.467948702,0.965638372,0.049846961,0.049846961
172,0.214020737,0.984286758,0.049846961,0.049846961
173,0.498123104,0.963422377,0.049846961,0.049846961
174,0.32398724,0.976208363,0.049846961,0.049846961
175,0.38267709,0.971903985,0.049846961,0.049846961
176,0.581225073,0.95732063,0.049846961,0.049846961
177,0.228511078,0.983221588,0.049846961,0.049846961
178,0.34624086,0.974578041,0.049846961,0.049846961
179,0.37928951,0.972152203,0.049846961,0.049846961
180,0.498986109,0.963360752,0.049846961,0.049846961
181,0.183498747,0.986525811,0.049846961,0.049846961
182,0.234164753,0.982805735,0.049846961,0.049846961
183,0.843276129,0.938080841,0.049846961,0.049846961
184,0.368741615,0.972923189,0.049846961,0.049846961
185,0.391770608,0.971236793,0.049846961,0.049846961
186,0.23283811,0.982902794,0.049846961,0.049846961
187,0.222496235,0.983662469,0.049846961,0.049846961
188,0.307174251,0.977444046,0.049846961,0.049846961
189,0.33593639,0.975333564,0.049846961,0.049846961
190,0.446497682,0.967215878,0.049846961,0.049846961
191,0.490557079,0.96397682,0.049846961,0.049846961
192,0.217079508,0.984063437,0.049846961,0.049846961
193,0.509459012,0.962598971,0.049846961,0.049846961
194,0.736530239,0.945918246,0.049846961,0.049846961
195,0.494596716,0.963684645,0.049846961,0.049846961
196,0.352401122,0.974126564,0.049846961,0.049846961
197,0.242275086,0.982210466,0.049846961,0.049846961
198,0.265430629,0.980514002,0.049846961,0.049846961
199,0.702999497,0.948380445,0.049846961,0.049846961